mjd,filter,file,magnitude,mag_err,zp_mean,zp_std,n_zp,sep_arcsec
59977.0,B,2023azx_B_1_1,17.470685322077767,0.0103313764501389,-3.132256663558349,0.1898426245403957,96,0.7223231470155423
59977.0,V,2023azx_V_1_1,17.40209000283496,0.010244439901681,-2.619259351527216,0.16307963966120384,107,0.7945975015320356
59977.0,R,2023azx_R_1_1,17.343212059632293,0.008227214125696,-2.3174500129849154,0.15613785879053393,103,0.712548056418371
59977.0,I,2023azx_I_1_1,17.380679086299025,0.0193034701458054,-2.8046347841412156,0.15013582241228293,106,0.8238531856389478
59985.0,R,sn2023azx_R_01_05_1,17.211962763123783,0.0162836722796849,-2.611922456336963,0.044387141339612635,96,0.6597904084598002
59985.0,R,sn2023azx_R_01_05_2,17.153385806596358,0.0153759859378732,-2.643336422345653,0.14066505378556868,95,0.6920959425249043
59985.0,R,sn2023azx_R_01_05_3,17.18405848878112,0.0185990356790806,-2.7310632410400726,0.19875584199836804,93,0.7827478242344326
59985.0,R,sn2023azx_R_01_05_4,inf,,-3.0671830419826587,0.13741699821064607,89,0.7055148439004787
59985.0,R,sn2023azx_R_01_05_5,inf,,-3.079536936522868,0.054716599662433585,84,0.607261649002744
59990.0,R,2023azx_R_01_1,17.38765093923115,0.008122979700906,-2.544287640291447,0.03900028342467862,106,0.4636563444446253
59990.0,I,2023azx_I_01_1,inf,,-2.9949595941856213,0.041692321719950715,106,0.46157636868009694
59990.0,B,2023azx_B_01_1,17.764182829531883,0.0091857248763076,-3.3708605672999408,0.22715247625491106,102,0.7646822564592347
59990.0,V,2023azx_V_01_1,17.548470047818093,0.0091415508604369,-2.8306651963417235,0.04791764298623536,109,0.44410643043003534
60030.0,B,sn2023azx_B_01_02_1,19.239158062890215,0.0232833604784829,-3.2772522338965944,0.05377019298599441,97,0.60375715902262
60030.0,B,sn2023azx_B_01_02_2,19.239092533442125,,-3.2706940154393225,0.049001172149070245,97,0.68064479515558
60030.0,V,sn2023azx_V_01_02_1,18.41948786962559,0.0138517261416682,-2.8647954602315058,0.26599057552298566,105,3.7647669360240297
60030.0,V,sn2023azx_V_01_02_2,18.45337669441003,,-2.8637863952302394,0.0398057999063375,105,0.7021224108811869
60030.0,R,sn2023azx_R_01_02_1,18.08858278319915,0.0102868681928666,-2.5127986197403556,0.03793958861281709,101,0.7862743566382934
60030.0,R,sn2023azx_R_01_02_2,18.088871255966847,0.0096439660052709,-2.493934085422918,0.04507613724724431,101,0.7019955965059248
60030.0,I,sn2023azx_I_01_1,17.853077672558282,0.0162699413783011,-3.0028461169476377,0.4173828500207443,102,0.7833758618700964
60030.0,I,sn2023azx_I_02_1,17.860736058170016,0.0165452187857105,-2.9981149080497764,0.4067202979632739,103,0.6789579982674474
60031.0,R,2023azx_R_01-03_2,18.119977420160797,0.0121146227849593,-2.481147591658271,0.04092328836620103,99,0.7147837066986193
60031.0,I,2023azx_I_01-03_3,17.90512891270437,0.0176806842054887,-2.9649682304908977,0.04374378559631399,97,0.7440055796918283
60031.0,I,2023azx_I_01-03_2,17.86189297305224,0.018537026482639,-2.97775592929182,0.03906149423167117,98,0.7264829277680419
60031.0,I,2023azx_I_01-03_1,17.881974571522694,,-3.007362131919948,0.1916480888729569,101,0.7042675810488622
60031.0,V,2023azx_V_01-03_3,18.488575574590712,0.0152539074609963,-2.8133286304194782,0.03886915942606725,102,0.8018055296725326
60031.0,R,2023azx_R_01-03_3,18.129727732185803,0.0126274297103099,-2.495175395986339,0.07851093401072966,100,0.8012820640067385
60031.0,V,2023azx_V_01-03_1,18.483412900734624,0.0156442349992624,-2.812570469194026,0.03896624771762976,100,0.7971448719473234
60031.0,B,2023azx_B_01-03_3,19.115788887649813,0.0236305320902856,-3.3192776237860087,0.05712997246757705,94,0.6438516907509653
60031.0,B,2023azx_B_01-03_2,19.128592808880224,0.0251059626367576,-3.342836579955906,0.05759902608150785,97,0.7772143593612862
60031.0,B,2023azx_B_01-03_1,19.14739714603148,,-3.3079707349751626,0.05773141678710811,96,0.8131508674918042
60031.0,V,2023azx_V_01-03_2,18.463815594660776,,-2.810527148124394,0.03973845679412672,102,0.7413216932809354
60046.0,B,sn2023azx_B_01_1,19.28850122242913,0.0326044577281146,-3.50506626012719,0.05009546093635974,95,0.6481482773181029
60046.0,V,sn2023azx_V_01_1,18.504715526816852,0.021597043177782,-3.007309242007986,0.035472242076697864,101,0.6552289858127884
60046.0,R,sn2023azx_R_01_1,18.058495145447875,0.0142580209136344,-2.699553708690563,0.03794881427223504,100,0.667534118540838
60046.0,I,sn2023azx_I_01_1,17.7292050634506,0.024561236465221,-3.1464314566989704,0.02456846955528003,100,0.8038449383520113
60047.0,I,2023azx_I_1-2_2,17.742661832425487,0.0211553752383886,-3.151792643350976,0.39226442652990884,103,0.6659329371675462
