mjd,magnitude,error,filter,file
60347.0,13.550166471002864,0.05110290205665527,V,photometry_SN2024gy_V_01_02_1.fits.csv
60347.0,13.550815693479743,0.05110290205665527,V,photometry_SN2024gy_V_01_02_1.fits.csv
60347.0,13.55612297256936,0.02459273131074976,V,photometry_SN2024gy_V_01_02_2.fits.csv
60347.0,13.555677450072942,0.02459273131074976,V,photometry_SN2024gy_V_01_02_2.fits.csv
60347.0,13.554476588153364,0.02459273131074976,V,photometry_SN2024gy_V_01_02_2.fits.csv
60356.0,14.052354919658779,0.040520377345336624,V,photometry_SN2024gy_V_90sec_2_2.fits.csv
60356.0,14.054553097309878,0.040520377345336624,V,photometry_SN2024gy_V_90sec_2_2.fits.csv
60356.0,14.055194283753918,0.040520377345336624,V,photometry_SN2024gy_V_90sec_2_2.fits.csv
60356.0,14.047607450299527,0.03650773995904004,V,photometry_SN2024gy_V_90sec_2_1.fits.csv
60356.0,14.045995422596281,0.03650773995904004,V,photometry_SN2024gy_V_90sec_2_1.fits.csv
60356.0,14.049205046730789,0.03650773995904004,V,photometry_SN2024gy_V_90sec_2_1.fits.csv
60381.0,15.139650754103382,0.04208372288589529,V,photometry_SN2024gy_V_1.fits.csv
60381.0,15.132945768068097,0.04208372288589529,V,photometry_SN2024gy_V_1.fits.csv
60409.0,15.86906433059213,0.044700519300222834,V,photometry_AT2024gy_V_01_02_1.fits.csv
60409.0,15.852517045611771,0.044700519300222834,V,photometry_AT2024gy_V_01_02_1.fits.csv
60409.0,15.840006982758336,0.050580546896965874,V,photometry_AT2024gy_V_01_02_2.fits.csv
60409.0,15.8302344361445,0.050580546896965874,V,photometry_AT2024gy_V_01_02_2.fits.csv
60458.0,16.956698041926195,0.033991101384880984,V,photometry_SN2024gy_V_01-02_1.fits.csv
60458.0,16.939018595763805,0.033991101384880984,V,photometry_SN2024gy_V_01-02_1.fits.csv
60458.0,16.917774257781193,0.05954123963881182,V,photometry_SN2024gy_V_01-02_2.fits.csv
